year,Region,Attack.Type,Percentage
1978,Europe,Hostage taking/assassinaton,162
1978,Europe,Other,14
1978,MENA,Armed Assault,14
1978,MENA,Bombing/Explosion,73
1978,MENA,Facility/Infrastructure Attack,9
1978,MENA,Hostage taking/assassinaton,29
1978,MENA,Other,3
1978,North America,Armed Assault,14
1978,North America,Bombing/Explosion,61
1978,North America,Facility/Infrastructure Attack,8
1978,North America,Hostage taking/assassinaton,17
1978,North America,Other,17
1978,South America,Armed Assault,43
1978,South America,Bombing/Explosion,73
1978,South America,Facility/Infrastructure Attack,4
1978,South America,Hostage taking/assassinaton,92
1978,South America,Other,10
1978,South Asia,Armed Assault,1
1978,South Asia,Bombing/Explosion,1
1978,South Asia,Facility/Infrastructure Attack,0
1978,South Asia,Hostage taking/assassinaton,0
1978,South Asia,Other,0
1978,Sub-Saharan Africa,Armed Assault,4
1978,Sub-Saharan Africa,Bombing/Explosion,22
1978,Sub-Saharan Africa,Facility/Infrastructure Attack,1
1978,Sub-Saharan Africa,Hostage taking/assassinaton,15
1978,Sub-Saharan Africa,Other,4
1979,Asia-Pacific,Armed Assault,35
1979,Asia-Pacific,Bombing/Explosion,12
1979,Asia-Pacific,Facility/Infrastructure Attack,11
1979,Asia-Pacific,Hostage taking/assassinaton,27
1979,Asia-Pacific,Other,19
1979,Central America & Caribbean,Armed Assault,140
1979,Central America & Caribbean,Bombing/Explosion,98
1979,Central America & Caribbean,Facility/Infrastructure Attack,46
1979,Central America & Caribbean,Hostage taking/assassinaton,215
1979,Central America & Caribbean,Other,110
1979,Central Asia,Armed Assault,0
1979,Central Asia,Bombing/Explosion,0
1979,Central Asia,Facility/Infrastructure Attack,0
1979,Central Asia,Hostage taking/assassinaton,0
1979,Central Asia,Other,0
1979,Europe,Armed Assault,130
1979,Europe,Bombing/Explosion,501
1979,Europe,Facility/Infrastructure Attack,107
1979,Europe,Hostage taking/assassinaton,252
1979,Europe,Other,30
1979,MENA,Armed Assault,50
1979,MENA,Bombing/Explosion,256
1979,MENA,Facility/Infrastructure Attack,9
1979,MENA,Hostage taking/assassinaton,121
1979,MENA,Other,19
1979,North America,Armed Assault,11
1979,North America,Bombing/Explosion,44
1979,North America,Facility/Infrastructure Attack,4
1979,North America,Hostage taking/assassinaton,14
1979,North America,Other,6
1979,South America,Armed Assault,43
1979,South America,Bombing/Explosion,80
1979,South America,Facility/Infrastructure Attack,7
1979,South America,Hostage taking/assassinaton,79
1979,South America,Other,27
1979,South Asia,Armed Assault,12
1979,South Asia,Bombing/Explosion,6
1979,South Asia,Facility/Infrastructure Attack,5
1979,South Asia,Hostage taking/assassinaton,9
1979,South Asia,Other,2
1979,Sub-Saharan Africa,Armed Assault,18
1979,Sub-Saharan Africa,Bombing/Explosion,60
1979,Sub-Saharan Africa,Facility/Infrastructure Attack,7
1979,Sub-Saharan Africa,Hostage taking/assassinaton,30
1979,Sub-Saharan Africa,Other,9
1980,Asia-Pacific,Armed Assault,6
1980,Asia-Pacific,Bombing/Explosion,68
1980,Asia-Pacific,Facility/Infrastructure Attack,8
1980,Asia-Pacific,Hostage taking/assassinaton,5
1980,Asia-Pacific,Other,8
1980,Central America & Caribbean,Armed Assault,354
1980,Central America & Caribbean,Bombing/Explosion,234
1980,Central America & Caribbean,Facility/Infrastructure Attack,52
1980,Central America & Caribbean,Hostage taking/assassinaton,378
1980,Central America & Caribbean,Other,52
1980,Central Asia,Armed Assault,0
1980,Central Asia,Bombing/Explosion,0
1980,Central Asia,Facility/Infrastructure Attack,0
1980,Central Asia,Hostage taking/assassinaton,0
1980,Central Asia,Other,0
1980,Europe,Armed Assault,63
1980,Europe,Bombing/Explosion,273
1980,Europe,Facility/Infrastructure Attack,60
1980,Europe,Hostage taking/assassinaton,188
1980,Europe,Other,12
1980,MENA,Armed Assault,49
1980,MENA,Bombing/Explosion,221
1980,MENA,Facility/Infrastructure Attack,16
1980,MENA,Hostage taking/assassinaton,134
1980,MENA,Other,17
1980,North America,Armed Assault,9
1980,North America,Bombing/Explosion,33
1980,North America,Facility/Infrastructure Attack,6
1980,North America,Hostage taking/assassinaton,15
1980,North America,Other,12
1980,South America,Armed Assault,74
1980,South America,Bombing/Explosion,126
1980,South America,Facility/Infrastructure Attack,25
1980,South America,Hostage taking/assassinaton,73
1980,South America,Other,21
1980,South Asia,Armed Assault,2
1980,South Asia,Bombing/Explosion,6
1980,South Asia,Facility/Infrastructure Attack,0
1980,South Asia,Hostage taking/assassinaton,4
1980,South Asia,Other,0
1980,Sub-Saharan Africa,Armed Assault,8
1980,Sub-Saharan Africa,Bombing/Explosion,36
1980,Sub-Saharan Africa,Facility/Infrastructure Attack,0
1980,Sub-Saharan Africa,Hostage taking/assassinaton,9
1980,Sub-Saharan Africa,Other,5
1981,Asia-Pacific,Armed Assault,7
1981,Asia-Pacific,Bombing/Explosion,23
1981,Asia-Pacific,Facility/Infrastructure Attack,8
1981,Asia-Pacific,Hostage taking/assassinaton,8
1981,Asia-Pacific,Other,11
1981,Central America & Caribbean,Armed Assault,512
1981,Central America & Caribbean,Bombing/Explosion,356
1981,Central America & Caribbean,Facility/Infrastructure Attack,53
1981,Central America & Caribbean,Hostage taking/assassinaton,206
1981,Central America & Caribbean,Other,21
1981,Central Asia,Armed Assault,0
